Name,Slug,is_featured,city,state,services_provided,url,description,display_order,is_custom,is_active
Nuview Nutrition,,1,Clarkston,MI,"Web Design, Logo Design, Web Maintenance",,"<p>The first thing I did for Nuview Nutrition of Clarkston, MI was create the logo. To convey the nutrition feel, I used an apple as the main image for the logo. I also used very clean typefaces and curves that had a similar look and feel to the apple to maintain the clean look and feel that many people have come to associate with nutrition.</p>",9,,1
Gregg's Gourmet Cafe,,1,Clarkston,MI,"Web Design, Web Maintenance",http://greggsgourmetcafe.com,"<p>This is a website that I created for Gregg's Gourmet Cafe of Clarkston, MI. While I originally used a custom web application to keep track of all menu items, I have since redone it using WordPress whichallows for an easier to navigate view and quick-to-reference menu information. The design of the site borrows the colors and simplicity of the existing logo. The site is now responsive in its design since a lot of people check the menu from mobile devices.</p>",4,,1
The Gate,,0,Big Rapids,MI,"Web Design, Web Maintenance",,"<p>This is a website that I created for The Gate, which is a bowling alley, bar, and grill located in Big Rapids, Michigan. The website is a combination of the WordPress content management system and special PHP applications for reservations and events. The site is also mobile ready so it can be accessed easily on a smartphone.</p>",11,,1
Sage Orthodontics,,1,Portage,MI,"Web Design, Web Maintenance",http://sageorthodontics.com,"<p>In this website for Sage Orthodontics, located in Portage, MI, I incorporated not only the colors in the logo, but also colors used in the office itself. My goal was to create a very ""hygienic"" look using clean lines and colors that were pleasing to the eye.</p>",6,,1
Four Green Fields Farm,,,Rodney,MI,"Web Design, Web Maintenance",http://fourgreenfieldsfarm.com,"<p>This is a website that I created for Four Green Fields Farm, in Rodney, MI located just outside of Big Rapids. The farm features a haunted hay ride and maze in October, and sleigh rides in the winter. The calendar on the site is continuously updated as technology evolves. I designed the site features to allow the owner to edit events without programming knowledge. I wanted to give the site a bit of country appeal with blues and greens to reflect the culture of the farm and business. This site is completely accessable on all devices.</p>",8,,1
Laura Jasurda,,1,Clarkston,MI,Web Design,,"<p>I created this website for Laura Jasurda of Clarkston, MI to promote her small business coaching and expertise. I designed the site to fit the branding of her and her logo, and to promote her knowledge.</p>",,,1
"Common Scents Canine Center, Inc.",,,Ortonville,MI,Web Design,http://commonscentscanine.com,"<p>Common Scents Canine Center, Inc. of Ortonville, MI offer both boarding and grooming for our furry friends. In order to combine both into one website, I gave them both their own flair. The design of the website allows it to offer a large amount of information without overwhelming a user.</p>",,,1
Accurate Physical Therapy / Health Team Services II,,,Pontiac,MI,"Web Design, Web Maintenance",http://accuratephysicaltherapy.com,"<p>This is a website I created for Accurate Physical Therapy / Health Team Services II located in Pontiac, MI. They specialize in aquatic physical therapy. Because of this, I wanted to show this on the website by giving it a water theme. The website is easy to navigate so people can find the information and help they need.</p>",,,1
Heather Pines Adult Care,,1,Clarkston,MI,Web Design,http://heatherpinesadultcare.com,"<p>I created this website to attract potential clients to Heather Pines Adult Care. The website is mainly used for informative purposes. Because of the many trees found on the location, the theme of nature and green is used in the name and the overall theme for the site.</p>",10,,1
Christ Lutheran Church of Waterford,,1,Waterford,MI,"Web Design, Web Maintenance",http://christwaterford.org,"<p>For the Christ Lutheran Church of Waterford website, I designed the layout to be welcoming for the congregation and those who are searching for a new church to call home. The site features my custom calendar application (created using the latest technology and trends) which allows administrators to log in and create events without any coding knowledge.</p>",7,,1
Moxie Fitness and Health,,,,,Web Design,,"<p>I created this website for Moxie Fitness and Health, owned and operated by Michelle Pozan. The blues contrasting with splashes of orange in this site  create an inviting look while the content informs potential customers of the services offered by Michelle Pozan.</p>",,,1
"Artrageous Limousine Service, LLC",,,Wayne,MI,Web Design,,"This is a website that I designed for Artrageous Limousine that uses a one page design, and is also responsive so that it works on every device. In just one page, the site displays all of the necessary information without overwhelming the user.",,,1
Facials By Jude,,,Oxford,MI,Web Design,http://facialsbyjude.com,"I designed this website for Facials by Jude of Oxford, MI to replicate a flyer she already had. The website uses soft colors to create a calming visual.",,,1
Gary Zirwes - Health and Wellness,,,,,Logo Design,,"I created this logo for Gary Zirwes - Health and Wellness. It incorporates the three messages that his company covers in the outer circle. Because his company sells many ""green"" products, I also used this color heavily in the design.",,,1
